data_pm_2.5,dates,data_pm_10,precipitation,year,Number of tourists,Receipts,perc of GNP,date,uWind,vWind,wind_dir_deg,wind_dir_labels,wind_speed
2.083063210811531e-08,2018-01-01,2.8876845248326788e-08,0.03213163,2018,12.49,9.52,7.5,2018-01-01,-1.388475153181288,-1.7857972251044378,37.86542188403536,NE,2.262064318314692
2.7484192033355725e-08,2018-01-02,3.870145515172396e-08,0.0,2018,12.49,9.52,7.5,2018-01-02,-1.8118342293633356,-1.527880933549669,49.8597830791075,NE,2.3700555735672615
2.3073829513720057e-08,2018-01-03,3.2792368265255334e-08,0.0,2018,12.49,9.52,7.5,2018-01-03,-1.6833148002624512,-1.0973167419433594,56.900534370643584,NE,2.009391138860676
2.3616354649647064e-08,2018-01-04,3.325758846095539e-08,0.0,2018,12.49,9.52,7.5,2018-01-04,-0.46372848086886936,-0.5298971070183648,41.190120560908895,NE,0.7041555566743628
2.1641350045342733e-08,2018-01-05,3.02830578391422e-08,0.10330364,2018,12.49,9.52,7.5,2018-01-05,1.0719922913445366,0.12297928664419387,263.45562006302225,W,1.079023344346926
1.0125472682531722e-08,2018-01-06,1.562281348732597e-08,3.634194,2018,12.49,9.52,7.5,2018-01-06,3.4915851950645447,1.0950354602601793,252.58746453336408,W,3.6592717627447593
6.596384105606035e-09,2018-01-07,1.119286419104526e-08,0.35215575,2018,12.49,9.52,7.5,2018-01-07,3.942314518822564,1.2943058651354578,251.8244144185678,W,4.149345904819605
6.973029154089261e-09,2018-01-08,1.0729784283292076e-08,0.0,2018,12.49,9.52,7.5,2018-01-08,2.687623358435101,1.3191887272728815,243.85642298311717,SW,2.9939235486180698
1.111345881987802e-08,2018-01-09,1.7371268423715946e-08,0.0,2018,12.49,9.52,7.5,2018-01-09,0.8970271779431238,1.189490149418513,217.02094888032786,SW,1.4898136036203593
1.598612797693022e-08,2018-01-10,2.279996991205735e-08,0.0,2018,12.49,9.52,7.5,2018-01-10,1.2974267502625783,0.5692810747358534,246.30923688811495,SW,1.416826423507595
1.0000397510090409e-08,2018-01-11,1.3989003622150165e-08,0.0,2018,12.49,9.52,7.5,2018-01-11,-1.393835915459527,-1.790665626525879,37.89682729488027,NE,2.269198524864278
2.271185256877417e-08,2018-01-12,3.2000174884916355e-08,0.0,2018,12.49,9.52,7.5,2018-01-12,-1.0746815999348958,-0.6057673030429417,60.591286654901296,NE,1.233650909566619
2.572617330276472e-08,2018-01-13,3.610863286152011e-08,0.0,2018,12.49,9.52,7.5,2018-01-13,0.5216959979799058,-0.08958995342254639,279.7442591947147,W,0.5293326686144583
2.4154328093217714e-08,2018-01-14,3.482453614367387e-08,0.88010865,2018,12.49,9.52,7.5,2018-01-14,0.13213524843255675,-1.482277234395345,354.90592375415594,N,1.4881550737356124
8.769649229023457e-09,2018-01-15,1.2636636292917558e-08,1.8828367,2018,12.49,9.52,7.5,2018-01-15,-1.0205115874608357,-2.61260896258884,21.336121251801444,N,2.8048474988029866
2.6123464391680784e-08,2018-01-16,3.810363491396629e-08,0.0,2018,12.49,9.52,7.5,2018-01-16,-1.9461789660983615,-1.6018013954162598,50.543932801289486,NE,2.52059125572576
2.1074460510028814e-08,2018-01-17,2.8373564830985742e-08,0.0,2018,12.49,9.52,7.5,2018-01-17,-0.6563825077480739,-0.8878474235534667,36.47538776425927,NE,1.1041336169088318
4.255615915216282e-08,2018-01-18,5.8068946318101666e-08,16.703917,2018,12.49,9.52,7.5,2018-01-18,0.09156714876492816,-0.8200032446119521,353.6283591020508,N,0.825099911469555
2.622702288679335e-08,2018-01-19,3.4396384407386904e-08,0.557002,2018,12.49,9.52,7.5,2018-01-19,0.6341878335095114,-0.7884784473313226,321.1896347994697,NW,1.0118757186915304
3.8968337667810715e-08,2018-01-20,4.9434423665672966e-08,0.0,2018,12.49,9.52,7.5,2018-01-20,-1.7487195332845054,-0.7819474538167318,65.90798879815452,NE,1.915583938808542
3.78360023312041e-08,2018-01-21,5.0107848870162286e-08,0.0,2018,12.49,9.52,7.5,2018-01-21,-1.6641891797383628,-0.7283250490824382,66.36362127555441,NE,1.8165855342039858
2.7742891872684083e-08,2018-01-22,3.851809726729272e-08,0.0,2018,12.49,9.52,7.5,2018-01-22,-1.0046795209248862,-1.0970639652676053,42.48312120648319,NE,1.4875921093009805
2.805709797826239e-08,2018-01-23,3.9445090749268275e-08,0.0,2018,12.49,9.52,7.5,2018-01-23,-0.4659358660380045,-0.7642154163784451,31.370319191416,NE,0.8950538720608193
2.509021534979894e-08,2018-01-24,3.507631063381922e-08,0.0,2018,12.49,9.52,7.5,2018-01-24,-0.33901123536957634,-0.2717719210518731,51.28222626733043,NE,0.4344980952536292
4.962820632226084e-08,2018-01-25,6.955871756364473e-08,1.6475556,2018,12.49,9.52,7.5,2018-01-25,0.21760827965206572,-0.5240872469213274,337.4510985945928,NW,0.5674687707343091
2.8017135278446403e-08,2018-01-26,4.0370003673295685e-08,0.0,2018,12.49,9.52,7.5,2018-01-26,-1.7528179519706304,-1.69495423634847,45.96150072840163,NE,2.438286413870639
1.4425090344438729e-08,2018-01-27,2.253636788296376e-08,0.26466316,2018,12.49,9.52,7.5,2018-01-27,-2.20048024919298,-2.065028773413764,46.81881946719557,NE,3.0176907002068902
1.2560121942506441e-08,2018-01-28,1.875890154323656e-08,0.0,2018,12.49,9.52,7.5,2018-01-28,-1.8846422831217449,-1.5174873669942222,51.159473050556244,NE,2.4196372546969513
1.5231387706649002e-08,2018-01-29,2.1516681769639945e-08,23.257309,2018,12.49,9.52,7.5,2018-01-29,-1.1704664760165744,1.120294666952557,133.74531947271976,SE,1.6202011950004847
6.232627713931294e-08,2018-01-30,8.988374577967306e-08,2.3990438,2018,12.49,9.52,7.5,2018-01-30,0.2803092532687717,0.23573926091194153,229.9362628305463,SW,0.366259848472918
8.293674025328102e-08,2018-01-31,1.0665753191752003e-07,3.0392177,2018,12.49,9.52,7.5,2018-01-31,-0.5360974238978492,0.36346786883142257,124.13681785457885,SE,0.6476954064857696
6.104937400053245e-08,2018-02-01,7.893345843612565e-08,0.0,2018,12.49,9.52,7.5,2018-02-01,-0.47978956169552267,-0.7000431517759959,34.42562483934222,NE,0.8486804097305721
4.40493661546526e-08,2018-02-02,5.701508409838851e-08,0.0,2018,12.49,9.52,7.5,2018-02-02,-0.9548497829172347,-2.224335299597846,23.23260012538725,NE,2.4206209188912933
1.159533180583594e-08,2018-02-03,1.753069511778449e-08,0.0,2018,12.49,9.52,7.5,2018-02-03,-2.4111452632480197,-2.7255415386623807,41.49752130916352,NE,3.638983121623053
2.3665270521000537e-08,2018-02-04,3.406463267019433e-08,3.7366662,2018,12.49,9.52,7.5,2018-02-04,0.9071493678622776,-0.4763486120435927,297.7041859578552,NW,1.0246111339473074
1.0370819092386796e-08,2018-02-05,1.726400755686086e-08,0.004295033,2018,12.49,9.52,7.5,2018-02-05,2.460879663626353,0.8104250927766165,251.77207982146064,W,2.590891265540053
1.0290795993128654e-08,2018-02-06,1.7107491978585188e-08,0.0,2018,12.49,9.52,7.5,2018-02-06,3.6145644187927246,0.01922329266866052,269.695287446389,W,3.61461553592957
9.321708183129829e-09,2018-02-07,1.4118787916572728e-08,13.589369,2018,12.49,9.52,7.5,2018-02-07,1.4226119683848486,0.8574175602859921,238.92235442729395,SW,1.661020675752893
1.8035082448297768e-08,2018-02-08,2.646831223640511e-08,7.581794,2018,12.49,9.52,7.5,2018-02-08,-0.26678943302896285,-1.3283509148491754,11.35634477921343,N,1.3548773946584822
1.7071939195645314e-08,2018-02-09,2.431590329088351e-08,0.0,2018,12.49,9.52,7.5,2018-02-09,-0.4624349508020613,-0.9393884340922037,26.209748010326166,NE,1.0470418873328362
1.6846137707027253e-08,2018-02-10,2.363060991328325e-08,0.0,2018,12.49,9.52,7.5,2018-02-10,-0.45569925838046604,-0.5292338795132108,40.73024693097079,NE,0.6983912322710749
1.57047521653908e-08,2018-02-11,2.212472738349902e-08,0.0,2018,12.49,9.52,7.5,2018-02-11,-1.3013840251498752,-2.092870447370741,31.87408294567058,NE,2.4644892149070357
1.347995193246021e-08,2018-02-12,1.8899411036166214e-08,0.0,2018,12.49,9.52,7.5,2018-02-12,-0.6953499052259657,-0.8669235971238878,38.732717136277756,NE,1.1113361390452396
1.4941505921406417e-08,2018-02-13,2.0894861507692042e-08,0.0,2018,12.49,9.52,7.5,2018-02-13,-0.8495640754699707,-1.118926101260715,37.2082166130221,NE,1.4049038182066593
1.2862882062866093e-08,2018-02-14,1.7946489262558873e-08,0.0,2018,12.49,9.52,7.5,2018-02-14,-0.551563474867079,-0.3829449547661675,55.228142559836556,NE,0.6714678735340277
1.4465713071842856e-08,2018-02-15,2.0197836292368265e-08,0.7313568,2018,12.49,9.52,7.5,2018-02-15,-0.5368878576490614,-0.32850927776760525,58.538499271695684,NE,0.6294179194068059
2.3524989067880142e-08,2018-02-16,3.287807359697581e-08,14.827705,2018,12.49,9.52,7.5,2018-02-16,0.15350194109810722,0.37327028645409477,202.3541978457332,S,0.4036007342292736
2.2889466322340013e-08,2018-02-17,3.191242115008208e-08,0.0,2018,12.49,9.52,7.5,2018-02-17,-0.4907927380667792,-0.8325851758321127,30.51852111967628,NE,0.9664758593749128
1.49005410232661e-08,2018-02-18,2.080716365870927e-08,0.0,2018,12.49,9.52,7.5,2018-02-18,-0.4182448387145996,-0.664857440524631,32.1729497834836,NE,0.7854706622989586
1.4319875507595725e-08,2018-02-19,2.002967647296572e-08,0.21346079,2018,12.49,9.52,7.5,2018-02-19,0.07904835542043051,-0.24123867352803552,341.8572220722763,N,0.2538596858507487
2.330061710242859e-08,2018-02-20,3.261215297811759e-08,0.0,2018,12.49,9.52,7.5,2018-02-20,-0.6556170185407002,-0.9699727694193523,34.05526440942003,NE,1.1707607989744295
2.127466258716737e-08,2018-02-21,2.9745891083621245e-08,0.0,2018,12.49,9.52,7.5,2018-02-21,0.13838697473208111,-0.9524579577975802,351.73308307717156,N,0.962458890627249
1.4043855189882493e-08,2018-02-22,1.9944495499579773e-08,0.0,2018,12.49,9.52,7.5,2018-02-22,0.5091482003529867,-0.9153221448262533,330.9149879649136,NW,1.0473998848252837
1.7433545940193085e-08,2018-02-23,2.4484216099018852e-08,0.0040845205,2018,12.49,9.52,7.5,2018-02-23,0.32057501727508175,-1.0534561475118,343.07458115768435,N,1.1011531212466876
2.2869878435471946e-08,2018-02-24,3.267794923544898e-08,0.0,2018,12.49,9.52,7.5,2018-02-24,1.452669835752911,0.007444666491614448,269.70637220849244,W,1.4526889119028759
1.6227917121192093e-08,2018-02-25,2.2781946884542492e-08,0.0,2018,12.49,9.52,7.5,2018-02-25,-0.06627572907341851,0.12343634499443902,151.76765606895992,SE,0.14010354574313721
3.210333077152683e-08,2018-02-26,5.300504246630311e-08,0.0,2018,12.49,9.52,7.5,2018-02-26,1.5063714451260037,0.8724792268541124,239.92089388226603,SW,1.7407972116197092
7.521024247836294e-09,2018-02-27,1.0550306739354198e-08,0.0,2018,12.49,9.52,7.5,2018-02-27,0.8086940149466197,0.4470213486088646,241.06752302868085,SW,0.924020614446762
1.2122659542868064e-08,2018-02-28,1.7930855911174604e-08,5.674925,2018,12.49,9.52,7.5,2018-02-28,1.0359388291835785,1.6658834715684254,211.87564282742915,SW,1.9617178692806752
1.5693291888219107e-08,2018-03-01,2.4804729825689265e-08,0.30832887,2018,12.49,9.52,7.5,2018-03-01,4.931912233432134,3.2312743398878307,236.76811419627535,SW,5.896176060625655
1.2972585450299334e-08,2018-03-02,2.075416261071439e-08,0.95678365,2018,12.49,9.52,7.5,2018-03-02,2.823002212577396,2.2013911737336054,232.05271707717907,SW,3.579869354042001
1.6020755347345705e-08,2018-03-03,2.3408316243700433e-08,6.7475376,2018,12.49,9.52,7.5,2018-03-03,1.5114042560259502,0.9724644025166829,237.24204965676716,SW,1.7972283770560393
8.293018161076304e-09,2018-03-04,1.3274186971834467e-08,0.7832429,2018,12.49,9.52,7.5,2018-03-04,3.8712821437252893,1.4995378851890564,248.82616509081032,W,4.151558659761842
1.5358317229097196e-08,2018-03-05,2.582240441612038e-08,0.111335605,2018,12.49,9.52,7.5,2018-03-05,3.6749718387921653,2.094900283548567,240.31490250083252,SW,4.230133001919365
1.0005798301016e-08,2018-03-06,1.539625227309216e-08,22.156883,2018,12.49,9.52,7.5,2018-03-06,3.370783302519057,0.6157839000225067,259.6472109270548,W,3.4265682371825323
1.0076433354377912e-08,2018-03-07,1.609116906386987e-08,4.4582586,2018,12.49,9.52,7.5,2018-03-07,2.90267785721355,1.1107250220245786,249.06038626924445,W,3.107933206700129
6.0268466883783844e-09,2018-03-08,9.194873307194484e-09,0.25212255,2018,12.49,9.52,7.5,2018-03-08,2.3910755813121796,0.25031320254007977,264.023677093844,W,2.404142078770148
1.0190197428927572e-08,2018-03-09,1.4653400250141946e-08,0.5039861,2018,12.49,9.52,7.5,2018-03-09,0.701574832201004,0.397038953171836,240.49338022494618,SW,0.8061309915352805
1.9226410685746487e-08,2018-03-10,2.892269890253374e-08,0.017306766,2018,12.49,9.52,7.5,2018-03-10,3.015646699402067,0.7075791325834062,256.7952172318011,W,3.0975463264464773
1.0135915773368254e-08,2018-03-11,1.8109577615277317e-08,0.041391905,2018,12.49,9.52,7.5,2018-03-11,3.6097267468770347,-0.2370067603058285,273.7565236544754,W,3.6174990520455044
1.7251507999915816e-08,2018-03-12,2.6618895310193125e-08,1.12695,2018,12.49,9.52,7.5,2018-03-12,-1.288432068294949,-1.247793482409583,45.91798626383928,NE,1.7936124914135256
1.3760296013742845e-08,2018-03-13,1.9490766334229193e-08,1.6097342,2018,12.49,9.52,7.5,2018-03-13,-0.44485019312964547,-0.5281049940321181,40.10917128293909,NE,0.6904973418117888
2.67193569492008e-08,2018-03-14,3.8831323712074095e-08,3.9211028,2018,12.49,9.52,7.5,2018-03-14,1.383957862854004,-0.31800783342785305,282.940870651399,W,1.4200240660907473
1.5785889484476456e-08,2018-03-15,2.3308523111609247e-08,5.2152953,2018,12.49,9.52,7.5,2018-03-15,3.0336186985174813,0.13424699174033272,267.4661380808237,W,3.03658766756144
1.2708935792637988e-08,2018-03-16,2.140740118505846e-08,0.0852614,2018,12.49,9.52,7.5,2018-03-16,1.6790030366844602,-1.7008367114596896,315.37012406146914,NW,2.3899574716393284
1.2259811499326645e-08,2018-03-17,1.9117324057127405e-08,0.8548938,2018,12.49,9.52,7.5,2018-03-17,1.6733569933308494,-0.21919004784690008,277.4625847169777,W,1.6876515944365966
1.3215168181979209e-08,2018-03-18,2.081556149668984e-08,0.40931004,2018,12.49,9.52,7.5,2018-03-18,2.9320640563964844,0.32355159852239823,263.7029207317334,W,2.949861906550645
1.8126333878321077e-08,2018-03-19,2.7652275247369573e-08,0.0,2018,12.49,9.52,7.5,2018-03-19,-0.11083544956313239,-1.2200010617574057,5.1909942701802265,N,1.225025341602801
1.6074060991966288e-08,2018-03-20,2.442079508752082e-08,0.0,2018,12.49,9.52,7.5,2018-03-20,-0.0784536169634925,-1.716442584991455,2.6170026467690946,N,1.7182345932924301
1.3216047256570107e-08,2018-03-21,2.056277459416833e-08,0.0,2018,12.49,9.52,7.5,2018-03-21,-2.208529313405355,-2.448049121432834,42.055479573341756,NE,3.297051141416948
1.4883963839196213e-08,2018-03-22,2.1290033180854095e-08,0.0,2018,12.49,9.52,7.5,2018-03-22,-0.8513999515109592,-1.8676554361979167,24.506612687258553,NE,2.052563934641865
1.313587427720364e-08,2018-03-23,1.8522850697699766e-08,0.0,2018,12.49,9.52,7.5,2018-03-23,-0.8265830145941839,-1.2083287768893771,34.374910194726965,NE,1.4640006533723224
1.1738851113385351e-08,2018-03-24,1.745188937807285e-08,0.0,2018,12.49,9.52,7.5,2018-03-24,1.584560947285758,-0.4062781650573015,284.38073252468894,W,1.6358164148416738
